id,title,difficulty,free/premium,frequency,tags
13,Roman to Integer,EASY,free,60.9,"Hash Table, Math, String"
17,Letter Combinations of a Phone Number,MEDIUM,free,60.9,"Hash Table, String, Backtracking"
139,Word Break,MEDIUM,free,60.9,"Array, Hash Table, String, Dynamic Programming, Trie, Memoization"
224,Basic Calculator,HARD,free,60.9,"Math, String, Stack, Recursion"
239,Sliding Window Maximum,HARD,free,60.9,"Array, Queue, Sliding Window, Heap (Priority Queue), Monotonic Queue"
380,Insert Delete GetRandom O(1),MEDIUM,free,60.9,"Array, Hash Table, Math, Design, Randomized"
1152,Analyze User Website Visit Pattern,MEDIUM,premium,60.9,"Array, Hash Table, Sorting"
3317,Find the Number of Possible Ways for an Event,HARD,free,60.9,"Math, Dynamic Programming, Combinatorics"
104,Maximum Depth of Binary Tree,EASY,free,58.7,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
124,Binary Tree Maximum Path Sum,HARD,free,58.7,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
134,Gas Station,MEDIUM,free,58.7,"Array, Greedy"
179,Largest Number,MEDIUM,free,58.7,"Array, String, Greedy, Sorting"
295,Find Median from Data Stream,HARD,free,58.7,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
297,Serialize and Deserialize Binary Tree,HARD,free,58.7,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree"
567,Permutation in String,MEDIUM,free,58.7,"Hash Table, Two Pointers, String, Sliding Window"
962,Maximum Width Ramp,MEDIUM,free,58.7,"Array, Stack, Monotonic Stack"
3366,Minimum Array Sum,MEDIUM,free,58.7,"Array, Dynamic Programming"
3369,Design an Array Statistics Tracker ,HARD,premium,58.7,"Hash Table, Binary Search, Queue"
11,Container With Most Water,MEDIUM,free,56.4,"Array, Two Pointers, Greedy"
12,Integer to Roman,MEDIUM,free,56.4,"Hash Table, Math, String"
21,Merge Two Sorted Lists,EASY,free,56.4,"Linked List, Recursion"
27,Remove Element,EASY,free,56.4,"Array, Two Pointers"
33,Search in Rotated Sorted Array,MEDIUM,free,56.4,"Array, Binary Search"
45,Jump Game II,MEDIUM,free,56.4,"Array, Dynamic Programming, Greedy"
84,Largest Rectangle in Histogram,HARD,free,56.4,"Array, Stack, Monotonic Stack"
128,Longest Consecutive Sequence,MEDIUM,free,56.4,"Array, Hash Table, Union Find"
212,Word Search II,HARD,free,56.4,"Array, String, Backtracking, Trie, Matrix"
242,Valid Anagram,EASY,free,56.4,"Hash Table, String, Sorting"
283,Move Zeroes,EASY,free,56.4,"Array, Two Pointers"
322,Coin Change,MEDIUM,free,56.4,"Array, Dynamic Programming, Breadth-First Search"
733,Flood Fill,EASY,free,56.4,"Array, Depth-First Search, Breadth-First Search, Matrix"
1011,Capacity To Ship Packages Within D Days,MEDIUM,free,56.4,"Array, Binary Search"
50,"Pow(x, n)",MEDIUM,free,53.7,"Math, Recursion"
122,Best Time to Buy and Sell Stock II,MEDIUM,free,53.7,"Array, Dynamic Programming, Greedy"
126,Word Ladder II,HARD,free,53.7,"Hash Table, String, Backtracking, Breadth-First Search"
135,Candy,HARD,free,53.7,"Array, Greedy"
268,Missing Number,EASY,free,53.7,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting"
394,Decode String,MEDIUM,free,53.7,"String, Stack, Recursion"
739,Daily Temperatures,MEDIUM,free,53.7,"Array, Stack, Monotonic Stack"
863,All Nodes Distance K in Binary Tree,MEDIUM,free,53.7,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
1268,Search Suggestions System,MEDIUM,free,53.7,"Array, String, Binary Search, Trie, Sorting, Heap (Priority Queue)"
1492,The kth Factor of n,MEDIUM,free,53.7,"Math, Number Theory"
7,Reverse Integer,MEDIUM,free,50.7,Math
36,Valid Sudoku,MEDIUM,free,50.7,"Array, Hash Table, Matrix"
62,Unique Paths,MEDIUM,free,50.7,"Math, Dynamic Programming, Combinatorics"
103,Binary Tree Zigzag Level Order Traversal,MEDIUM,free,50.7,"Tree, Breadth-First Search, Binary Tree"
143,Reorder List,MEDIUM,free,50.7,"Linked List, Two Pointers, Stack, Recursion"
169,Majority Element,EASY,free,50.7,"Array, Hash Table, Divide and Conquer, Sorting, Counting"
189,Rotate Array,MEDIUM,free,50.7,"Array, Math, Two Pointers"
198,House Robber,MEDIUM,free,50.7,"Array, Dynamic Programming"
287,Find the Duplicate Number,MEDIUM,free,50.7,"Array, Two Pointers, Binary Search, Bit Manipulation"
387,First Unique Character in a String,EASY,free,50.7,"Hash Table, String, Queue, Counting"
973,K Closest Points to Origin,MEDIUM,free,50.7,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect"
2825,Make String a Subsequence Using Cyclic Increments,MEDIUM,free,50.7,"Two Pointers, String"
31,Next Permutation,MEDIUM,free,47.3,"Array, Two Pointers"
34,Find First and Last Position of Element in Sorted Array,MEDIUM,free,47.3,"Array, Binary Search"
66,Plus One,EASY,free,47.3,"Array, Math"
69,Sqrt(x),EASY,free,47.3,"Math, Binary Search"
